customer_id,customer_name,country,total_revenue,orders_count,returns_count,aov,return_rate
C000380,Customer_380,France,12163,3,1,4054.33,0.333
C007257,Customer_7257,France,11590,2,2,5795,1
C003971,Customer_3971,Unknown,10872,2,0,5436,0
C002545,Customer_2545,United Kingdom,10825,3,1,3608.33,0.333
C006292,Customer_6292,Unknown,10410,2,1,5205,0.5
C003140,Customer_3140,France,10396,2,0,5198,0
C010747,Customer_10747,Unknown,10232,2,2,5116,1
C008295,Customer_8295,United Kingdom,10150,2,0,5075,0
C007633,Customer_7633,Germany,9983,2,1,4991.5,0.5
C004265,Customer_4265,Poland,9916,2,2,4958,1
C009073,Customer_9073,France,9435,2,0,4717.5,0
C001901,Customer_1901,France,9364,2,0,4682,0
C004900,Customer_4900,Germany,9341,2,1,4670.5,0.5
C003715,Customer_3715,Poland,8977,2,0,4488.5,0
C011780,Customer_11780,United Kingdom,8805,3,1,2935,0.333
C011168,Customer_11168,France,8800,2,0,4400,0
C003159,Customer_3159,France,8791,2,2,4395.5,1
C005554,Customer_5554,France,8509,2,1,4254.5,0.5
C004566,Customer_4566,Poland,8505,2,2,4252.5,1
C004473,Customer_4473,Germany,8420,2,2,4210,1
C007437,Customer_7437,Poland,8400,2,2,4200,1
C007373,Customer_7373,United Kingdom,8354,2,0,4177,0
C008350,Customer_8350,Poland,8310,2,1,4155,0.5
C003716,Customer_3716,United Kingdom,8290,2,1,4145,0.5
C010784,Customer_10784,United Kingdom,8150,2,1,4075,0.5
C005299,Customer_5299,Unknown,8012,2,1,4006,0.5
C005382,Customer_5382,Germany,8004,2,1,4002,0.5
C011142,Customer_11142,Poland,7982,2,1,3991,0.5
C008225,Customer_8225,Germany,7955,3,2,2651.67,0.667
C003767,Customer_3767,United Kingdom,7911,2,1,3955.5,0.5
C011412,Customer_11412,France,7910,2,1,3955,0.5
C010835,Customer_10835,United Kingdom,7871,2,1,3935.5,0.5
C006431,Customer_6431,Germany,7801,2,1,3900.5,0.5
C000629,Customer_629,United Kingdom,7784,2,2,3892,1
C005632,Customer_5632,France,7689,2,1,3844.5,0.5
C005867,Customer_5867,Germany,7667,2,1,3833.5,0.5
C008980,Customer_8980,United Kingdom,7580,2,0,3790,0
C010414,Customer_10414,Germany,7500,1,0,7500,0
C009452,Customer_9452,Poland,7500,1,0,7500,0
C004184,Customer_4184,France,7495,1,0,7495,0
C011296,Customer_11296,Poland,7485,1,1,7485,1
C003650,Customer_3650,Unknown,7470,2,1,3735,0.5
C004330,Customer_4330,Unknown,7465,1,0,7465,0
C006615,Customer_6615,Germany,7465,1,0,7465,0
C011248,Customer_11248,Poland,7455,1,0,7455,0
C001743,Customer_1743,France,7425,1,1,7425,1
C008933,Customer_8933,Poland,7425,1,1,7425,1
C010176,Customer_10176,France,7413,3,1,2471,0.333
C003147,Customer_3147,Germany,7400,1,0,7400,0
C009814,Customer_9814,France,7400,1,0,7400,0
C007540,Customer_7540,United Kingdom,7389,2,0,3694.5,0
C003728,Customer_3728,France,7380,1,0,7380,0
C004676,Customer_4676,Germany,7365,1,1,7365,1
C007712,Customer_7712,France,7345,1,1,7345,1
C009459,Customer_9459,Germany,7330,1,0,7330,0
C008100,Customer_8100,Germany,7315,1,1,7315,1
C006613,Customer_6613,Poland,7290,1,1,7290,1
C005056,Customer_5056,Unknown,7270,1,0,7270,0
C008198,Customer_8198,Poland,7260,1,1,7260,1
C003400,Customer_3400,France,7249,2,1,3624.5,0.5
C010526,Customer_10526,Unknown,7240,2,1,3620,0.5
C011157,Customer_11157,France,7240,1,0,7240,0
C000817,Customer_817,United Kingdom,7235,1,0,7235,0
C005828,Customer_5828,Germany,7225,2,0,3612.5,0
C003318,Customer_3318,Germany,7215,1,0,7215,0
C004215,Customer_4215,Germany,7208,2,0,3604,0
C009300,Customer_9300,France,7200,1,1,7200,1
C000481,Customer_481,United Kingdom,7185,1,0,7185,0
C011648,Customer_11648,Unknown,7156,3,0,2385.33,0
C008818,Customer_8818,Unknown,7155,1,0,7155,0
C005039,Customer_5039,Poland,7155,1,0,7155,0
C005144,Customer_5144,Germany,7140,1,1,7140,1
C000194,Customer_194,France,7140,1,1,7140,1
C003436,Customer_3436,Germany,7130,1,0,7130,0
C006590,Customer_6590,Unknown,7130,1,1,7130,1
C000079,Customer_79,Unknown,7095,1,1,7095,1
C004570,Customer_4570,Poland,7075,2,2,3537.5,1
C004899,Customer_4899,Poland,7055,1,1,7055,1
C004668,Customer_4668,France,7031,2,1,3515.5,0.5
C010337,Customer_10337,Germany,7025,1,0,7025,0
C010393,Customer_10393,Unknown,7015,1,0,7015,0
C008847,Customer_8847,Unknown,7000,1,0,7000,0
C009342,Customer_9342,Poland,6994,2,0,3497,0
C000588,Customer_588,Poland,6965,1,0,6965,0
C005449,Customer_5449,Germany,6945,1,1,6945,1
C006470,Customer_6470,Unknown,6905,1,0,6905,0
C005218,Customer_5218,France,6895,1,0,6895,0
C000824,Customer_824,United Kingdom,6890,2,2,3445,1
C004207,Customer_4207,Unknown,6885,1,0,6885,0
C004782,Customer_4782,United Kingdom,6884,2,1,3442,0.5
C006689,Customer_6689,Poland,6880,1,1,6880,1
C003226,Customer_3226,Poland,6875,1,0,6875,0
C009966,Customer_9966,Unknown,6870,1,0,6870,0
C008119,Customer_8119,Poland,6855,1,0,6855,0
C011363,Customer_11363,Germany,6822,2,2,3411,1
C001162,Customer_1162,Poland,6820,1,0,6820,0
C010506,Customer_10506,Germany,6780,2,0,3390,0
C003612,Customer_3612,Poland,6775,1,0,6775,0
C011333,Customer_11333,United Kingdom,6770,1,0,6770,0
C008689,Customer_8689,Germany,6704,2,1,3352,0.5
C002029,Customer_2029,France,6680,1,0,6680,0
C001651,Customer_1651,Unknown,6665,1,0,6665,0
C002999,Customer_2999,France,6645,1,0,6645,0
C003678,Customer_3678,Poland,6640,1,1,6640,1
C003736,Customer_3736,Germany,6635,1,0,6635,0
C006570,Customer_6570,United Kingdom,6632,2,1,3316,0.5
C003888,Customer_3888,Unknown,6625,1,0,6625,0
C005715,Customer_5715,Poland,6625,1,0,6625,0
C000488,Customer_488,France,6620,1,1,6620,1
C010085,Customer_10085,Germany,6606,2,1,3303,0.5
C010271,Customer_10271,Unknown,6600,1,1,6600,1
C002537,Customer_2537,Germany,6585,1,1,6585,1
C008638,Customer_8638,Poland,6580,1,0,6580,0
C010172,Customer_10172,France,6570,2,1,3285,0.5
C000129,Customer_129,United Kingdom,6545,1,0,6545,0
C006191,Customer_6191,Unknown,6520,2,0,3260,0
C005675,Customer_5675,Unknown,6520,1,1,6520,1
C002185,Customer_2185,Poland,6495,1,1,6495,1
C004159,Customer_4159,United Kingdom,6495,2,1,3247.5,0.5
C003073,Customer_3073,France,6483,2,1,3241.5,0.5
C010466,Customer_10466,Unknown,6483,2,0,3241.5,0
C005716,Customer_5716,United Kingdom,6475,1,1,6475,1
C005661,Customer_5661,Poland,6460,1,0,6460,0
C009484,Customer_9484,Germany,6453,2,2,3226.5,1
C001601,Customer_1601,United Kingdom,6445,1,0,6445,0
C007639,Customer_7639,United Kingdom,6435,1,1,6435,1
C007225,Customer_7225,Unknown,6430,1,0,6430,0
C009216,Customer_9216,France,6425,1,0,6425,0
C007690,Customer_7690,France,6397,3,2,2132.33,0.667
C003244,Customer_3244,Germany,6385,1,0,6385,0
C001471,Customer_1471,United Kingdom,6370,1,1,6370,1
C007894,Customer_7894,Germany,6365,1,0,6365,0
C001741,Customer_1741,Germany,6365,1,1,6365,1
C004718,Customer_4718,France,6352,2,1,3176,0.5
C007691,Customer_7691,Poland,6338,2,2,3169,1
C006817,Customer_6817,Poland,6337,3,1,2112.33,0.333
