product_id,product_name,category,total_orders,returned_orders,return_rate
P01237,null,null,1,1,1
P00184,null,null,1,1,1
P00338,null,null,1,1,1
P00072,null,null,1,1,1
P01460,null,null,1,1,1
P00664,Product_664,manicure,1,1,1
P00446,null,null,3,3,1
P01131,null,null,1,1,1
P01425,Product_1425,manicure,1,1,1
P01348,null,null,1,1,1
P00239,null,null,1,1,1
P00275,Product_275,manicure,1,1,1
P00621,null,null,2,2,1
P01217,null,null,1,1,1
P00481,null,null,1,1,1
P00432,Product_432,manicure,1,1,1
P00951,null,null,1,1,1
P00710,null,null,1,1,1
P01406,null,null,1,1,1
P00932,null,null,1,1,1
P00202,null,null,1,1,1
P00347,Product_347,tools,2,2,1
P00845,null,null,1,1,1
P00277,Product_277,tools,3,3,1
P01368,Product_1368,pedicure,1,1,1
P01394,Product_1394,pedicure,1,1,1
P00118,null,null,1,1,1
P01298,Product_1298,pedicure,1,1,1
P01033,null,null,1,1,1
P01216,null,null,1,1,1
P00610,null,null,2,2,1
P01048,null,null,1,1,1
P00480,null,null,1,1,1
P00357,Product_357,tools,1,1,1
P00423,null,null,1,1,1
P00185,null,null,1,1,1
P01363,null,null,1,1,1
P00000,null,null,1,1,1
P01353,null,null,1,1,1
P00756,null,null,1,1,1
P00929,Product_929,pedicure,1,1,1
P01192,null,null,1,1,1
P01115,Product_1115,pedicure,1,1,1
P00779,null,null,1,1,1
P01239,Product_1239,pedicure,1,1,1
P01303,null,null,1,1,1
P01492,null,null,1,1,1
P00021,null,null,2,2,1
P01214,Product_1214,tools,1,1,1
P00031,null,null,2,2,1
P00315,null,null,1,1,1
P00944,null,null,1,1,1
P00040,null,null,1,1,1
P00454,null,null,1,1,1
P01193,null,null,2,2,1
P01370,null,null,1,1,1
P01276,null,null,2,2,1
P01332,null,null,1,1,1
P01268,null,null,1,1,1
P00235,Product_235,tools,1,1,1
P00878,null,null,1,1,1
P00809,null,null,3,3,1
P00005,null,null,1,1,1
P01447,null,null,1,1,1
P00495,null,null,1,1,1
P00491,null,null,1,1,1
P00287,null,null,1,1,1
P00038,null,null,1,1,1
P01054,null,null,1,1,1
P00855,null,null,1,1,1
P00206,null,null,1,1,1
P01473,null,null,1,1,1
P00669,null,null,1,1,1
P01179,null,null,1,1,1
P01174,null,null,1,1,1
P00337,Product_337,manicure,1,1,1
P00149,null,null,1,1,1
P00264,null,null,1,1,1
P00799,null,null,2,2,1
P00701,null,null,1,1,1
P00618,null,null,1,1,1
P01401,Product_1401,pedicure,1,1,1
P01091,null,null,2,2,1
P01057,null,null,1,1,1
P01316,null,null,1,1,1
